fetch_date,uid,username,rank,guard_level,accompany,face,medal_name,medal_level,ruid
2026-01-26,2628295,杰尼龟人柱力,59,3,1714,https://i1.hdslb.com/bfs/face/afe8bcc5ae3379cb188c000b50395ff824fe65f0.jpg,帅Pi,36,13046
2026-01-26,2328800,isGYF,60,3,1575,http://i2.hdslb.com/bfs/face/24d2e89f89acc675145403020f1e579a3646a939.jpg,帅Pi,36,13046
2026-01-26,2357693,姜丝炒土豆丝儿,61,3,1824,https://i2.hdslb.com/bfs/face/4e1355fbb99ae8da9e73a98038c46668e7771cca.jpg,帅Pi,35,13046
2026-01-26,914780,吃吃吃的爱丽丝,62,3,2050,https://i2.hdslb.com/bfs/face/e31bb37d04b8a1d97caa3de8d1e9e07f9a465ce6.jpg,帅Pi,35,13046
2026-01-26,2552742,雨枫真夜,63,3,1764,http://i0.hdslb.com/bfs/face/53f80af41a70332abd97b2b3bb9c65c0ac4fda98.jpg,帅Pi,35,13046
2026-01-26,8205493,小韩包_,64,3,1887,https://i1.hdslb.com/bfs/face/dbfcfea6f6e62397557256e2bca5780a6bb1bf2e.jpg,帅Pi,35,13046
2026-01-26,1300299,SereniTY_czx,65,3,2031,http://i0.hdslb.com/bfs/baselabs/aed66b98445f4668a9eda48d9088f4187ecd5c3e.png,帅Pi,35,13046
2026-01-26,12241872,二爷把子范儿,66,3,1995,https://i0.hdslb.com/bfs/face/d56cb062a08126e51a4db1cbe5604a0d93ca14da.jpg,帅Pi,35,13046
2026-01-26,2848200,T丶光灬影,67,3,1793,http://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,1375965,再让我躺会儿,68,3,1983,http://i0.hdslb.com/bfs/face/90523b6898b6fe64131bed92a9e2252fde480ad0.jpg,帅Pi,35,13046
2026-01-26,4943053,sytmidsky,69,3,1482,https://i1.hdslb.com/bfs/face/fac0811a8b35c030453296d844ec03656f6897db.jpg,帅Pi,35,13046
2026-01-26,25334832,枫林丶晚秋,70,3,1457,http://i0.hdslb.com/bfs/face/e4d825eb6af09431a30271fa9cb3379dab3be1c5.jpg,帅Pi,35,13046
2026-01-26,2760377,我不是夏先森,71,3,2150,https://i2.hdslb.com/bfs/face/a9a54bbd380281f790dfdc9b265629c5a871e007.webp,帅Pi,35,13046
2026-01-26,1928738,库温瑟·柏波特吉,72,3,2088,https://i2.hdslb.com/bfs/face/4e9c67ec8b83ac59aeab07e0883cf7a9450de825.jpg,帅Pi,35,13046
2026-01-26,16995546,欧迪凯莱,73,3,1918,http://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,8562756,Sky3Judy,74,3,1936,https://i0.hdslb.com/bfs/face/30a16afe46a0f62ca477e652eb79a4d0afcba752.jpg,帅Pi,35,13046
2026-01-26,4934701,一开心用完蓝的贝蒂,75,3,1846,https://i1.hdslb.com/bfs/face/552b08e1ca946f5938b422395a82a0d53c1f04e3.jpg,帅Pi,35,13046
2026-01-26,467058,苍冰JY,76,3,1851,https://i0.hdslb.com/bfs/face/7dd500e3118a5a6d7d5a0a4c1c10d58529bf3378.jpg,帅Pi,35,13046
2026-01-26,14936398,绅罗DraG,77,3,2088,http://i1.hdslb.com/bfs/face/370251c459b9f44bdb02cbef2ca501a1af15626d.jpg,帅Pi,35,13046
2026-01-26,3395303,困特瑞达尔,78,3,1887,http://i2.hdslb.com/bfs/face/2c054ee7d2c2ea69649e9feed5513eb64ce200e2.jpg,帅Pi,35,13046
2026-01-26,2840428,梦宵久,79,3,1346,https://i1.hdslb.com/bfs/face/2671890935875ef6958d5450114ef4e3549facef.jpg,帅Pi,35,13046
2026-01-26,356562,浪迹蚊子,80,3,1883,http://i0.hdslb.com/bfs/face/5d2c92beb774a4bb30762538bb102d23670ae9c0.gif,帅Pi,35,13046
2026-01-26,5654286,WDGarry,81,3,1852,https://i0.hdslb.com/bfs/face/1b9b322f22088dc7e447e656be192b228a8e7490.jpg,帅Pi,35,13046
